question_version,display_order,question_id,status
ipip-ja-50-question-set-v1,1,ipip-ja-01,approved
ipip-ja-50-question-set-v1,2,ipip-ja-17,approved
ipip-ja-50-question-set-v1,3,ipip-ja-23,approved
ipip-ja-50-question-set-v1,4,ipip-ja-39,approved
ipip-ja-50-question-set-v1,5,ipip-ja-15,approved
ipip-ja-50-question-set-v1,6,ipip-ja-06,approved
ipip-ja-50-question-set-v1,7,ipip-ja-22,approved
ipip-ja-50-question-set-v1,8,ipip-ja-28,approved
ipip-ja-50-question-set-v1,9,ipip-ja-09,approved
ipip-ja-50-question-set-v1,10,ipip-ja-20,approved
ipip-ja-50-question-set-v1,11,ipip-ja-31,approved
ipip-ja-50-question-set-v1,12,ipip-ja-42,approved
ipip-ja-50-question-set-v1,13,ipip-ja-33,approved
ipip-ja-50-question-set-v1,14,ipip-ja-29,approved
ipip-ja-50-question-set-v1,15,ipip-ja-10,approved
ipip-ja-50-question-set-v1,16,ipip-ja-16,approved
ipip-ja-50-question-set-v1,17,ipip-ja-32,approved
ipip-ja-50-question-set-v1,18,ipip-ja-18,approved
ipip-ja-50-question-set-v1,19,ipip-ja-19,approved
ipip-ja-50-question-set-v1,20,ipip-ja-30,approved
