title_id,presentation_definition_version,display_order,status
title-balanced,presentation-v2,1,approved
title-single-intellectImagination-high,presentation-v2,2,approved
title-single-intellectImagination-low,presentation-v2,3,approved
title-single-conscientiousness-high,presentation-v2,4,approved
title-single-conscientiousness-low,presentation-v2,5,approved
title-single-extraversion-high,presentation-v2,6,approved
title-single-extraversion-low,presentation-v2,7,approved
title-single-agreeableness-high,presentation-v2,8,approved
title-single-agreeableness-low,presentation-v2,9,approved
title-single-emotionalStability-high,presentation-v2,10,approved
title-single-emotionalStability-low,presentation-v2,11,approved
title-pair-intellectImagination-high--conscientiousness-high,presentation-v2,12,approved
title-pair-intellectImagination-high--conscientiousness-low,presentation-v2,13,approved
title-pair-intellectImagination-low--conscientiousness-high,presentation-v2,14,approved
title-pair-intellectImagination-low--conscientiousness-low,presentation-v2,15,approved
title-pair-intellectImagination-high--extraversion-high,presentation-v2,16,approved
title-pair-intellectImagination-high--extraversion-low,presentation-v2,17,approved
title-pair-intellectImagination-low--extraversion-high,presentation-v2,18,approved
title-pair-intellectImagination-low--extraversion-low,presentation-v2,19,approved
title-pair-intellectImagination-high--agreeableness-high,presentation-v2,20,approved
title-pair-intellectImagination-high--agreeableness-low,presentation-v2,21,approved
title-pair-intellectImagination-low--agreeableness-high,presentation-v2,22,approved
title-pair-intellectImagination-low--agreeableness-low,presentation-v2,23,approved
title-pair-intellectImagination-high--emotionalStability-high,presentation-v2,24,approved
title-pair-intellectImagination-high--emotionalStability-low,presentation-v2,25,approved
title-pair-intellectImagination-low--emotionalStability-high,presentation-v2,26,approved
title-pair-intellectImagination-low--emotionalStability-low,presentation-v2,27,approved
title-pair-conscientiousness-high--extraversion-high,presentation-v2,28,approved
title-pair-conscientiousness-high--extraversion-low,presentation-v2,29,approved
title-pair-conscientiousness-low--extraversion-high,presentation-v2,30,approved
title-pair-conscientiousness-low--extraversion-low,presentation-v2,31,approved
title-pair-conscientiousness-high--agreeableness-high,presentation-v2,32,approved
title-pair-conscientiousness-high--agreeableness-low,presentation-v2,33,approved
title-pair-conscientiousness-low--agreeableness-high,presentation-v2,34,approved
title-pair-conscientiousness-low--agreeableness-low,presentation-v2,35,approved
title-pair-conscientiousness-high--emotionalStability-high,presentation-v2,36,approved
title-pair-conscientiousness-high--emotionalStability-low,presentation-v2,37,approved
title-pair-conscientiousness-low--emotionalStability-high,presentation-v2,38,approved
title-pair-conscientiousness-low--emotionalStability-low,presentation-v2,39,approved
title-pair-extraversion-high--agreeableness-high,presentation-v2,40,approved
title-pair-extraversion-high--agreeableness-low,presentation-v2,41,approved
title-pair-extraversion-low--agreeableness-high,presentation-v2,42,draft
title-pair-extraversion-low--agreeableness-low,presentation-v2,43,draft
title-pair-extraversion-high--emotionalStability-high,presentation-v2,44,draft
title-pair-extraversion-high--emotionalStability-low,presentation-v2,45,draft
title-pair-extraversion-low--emotionalStability-high,presentation-v2,46,draft
title-pair-extraversion-low--emotionalStability-low,presentation-v2,47,draft
title-pair-agreeableness-high--emotionalStability-high,presentation-v2,48,draft
title-pair-agreeableness-high--emotionalStability-low,presentation-v2,49,draft
title-pair-agreeableness-low--emotionalStability-high,presentation-v2,50,draft
title-pair-agreeableness-low--emotionalStability-low,presentation-v2,51,draft
