text_id,display_order,evidence_id,status
title-balanced-subtitle,1,evidence-title-rule-v1,reviewed
title-balanced-reason,1,evidence-title-rule-v1,reviewed
title-single-intellectImagination-high-subtitle,1,evidence-title-rule-v1,reviewed
title-single-intellectImagination-high-reason,1,evidence-title-rule-v1,reviewed
title-single-intellectImagination-low-subtitle,1,evidence-title-rule-v1,reviewed
title-single-intellectImagination-low-reason,1,evidence-title-rule-v1,reviewed
title-single-conscientiousness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-single-conscientiousness-high-reason,1,evidence-title-rule-v1,reviewed
title-single-conscientiousness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-single-conscientiousness-low-reason,1,evidence-title-rule-v1,reviewed
title-single-extraversion-high-subtitle,1,evidence-title-rule-v1,reviewed
title-single-extraversion-high-reason,1,evidence-title-rule-v1,reviewed
title-single-extraversion-low-subtitle,1,evidence-title-rule-v1,reviewed
title-single-extraversion-low-reason,1,evidence-title-rule-v1,reviewed
title-single-agreeableness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-single-agreeableness-high-reason,1,evidence-title-rule-v1,reviewed
title-single-agreeableness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-single-agreeableness-low-reason,1,evidence-title-rule-v1,reviewed
title-single-emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-single-emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-single-emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-single-emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--conscientiousness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--conscientiousness-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--conscientiousness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--conscientiousness-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--conscientiousness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--conscientiousness-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--conscientiousness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--conscientiousness-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--extraversion-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--extraversion-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--extraversion-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--extraversion-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--extraversion-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--extraversion-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--extraversion-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--extraversion-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--agreeableness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--agreeableness-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--agreeableness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--agreeableness-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--agreeableness-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--agreeableness-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--agreeableness-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--agreeableness-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-high--emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--emotionalStability-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--emotionalStability-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--emotionalStability-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-intellectImagination-low--emotionalStability-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--extraversion-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--extraversion-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--extraversion-low-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-high--extraversion-low-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--extraversion-high-subtitle,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--extraversion-high-reason,1,evidence-title-rule-v1,reviewed
title-pair-conscientiousness-low--extraversion-low-subtitle,1,evidence-title-rule-v1,reviewed
