palette_id,presentation_definition_version,display_order,label,primary_color,secondary_color,accent_color,description,content_review_note,status
palette-balanced-1,presentation-v2,1,澄み切った空色,#7C8791,#98B0AA,#667B7A,複数の方向を等しく見渡す中立的な印象。,,approved
palette-balanced-2,presentation-v2,2,静謐な淡いブルー,#8FAFC1,#BEB4A9,#8B8484,状況に応じて表情を変える静かな空のイメージ。,,approved
palette-balanced-3,presentation-v2,3,穏やかな草原の緑,#4F9B58,#98A8A8,#597668,偏りを強調せず、穏やかに全体をつなぐ色。,,approved
palette-single-intellectimagination-high-1,presentation-v2,4,深い知性の紺色,#4E5D94,#88A1AB,#4F667C,未知のテーマへ視線を伸ばす深い青紫。,,approved
palette-single-intellectimagination-high-2,presentation-v2,5,閃きを象徴する星影の紫,#7567A8,#B59AA0,#7E6077,発想や概念が広がる星図のような色。,,approved
palette-single-intellectimagination-high-3,presentation-v2,6,未知への好奇心を誘うターコイズ,#4FA8B8,#98ADCA,#597D98,新しい着想がひらく瞬間を思わせる色。,,approved
palette-single-intellectimagination-low-1,presentation-v2,7,大地の温もりを宿す茶色,#8C735B,#9EA997,#6E715F,具体的な手ざわりと足元の道を表す色。,,approved
palette-single-intellectimagination-low-2,presentation-v2,8,柔らかな陽だまりのグレージュ,#8B8D88,#BCA895,#897367,確かめられるものを一つずつ辿る印象。,,approved
palette-single-intellectimagination-low-3,presentation-v2,9,落ち着いたモスグリーン,#5F8457,#9DA0A8,#616B67,身近な経験や現実感を象徴する落ち着いた緑。,,approved
palette-single-conscientiousness-high-1,presentation-v2,10,規律ある濃紺,#40566F,#839F9E,#486369,計画や段取りを整える端正な印象。,,approved
palette-single-conscientiousness-high-2,presentation-v2,11,静止した空気のグレー,#6986A3,#B1A59E,#786F75,区切りと見通しを感じさせる実務的な青。,,approved
palette-single-conscientiousness-high-3,presentation-v2,12,誠実な白磁色,#B5A786,#BCACB8,#8C7C7F,秩序立てて積み重ねる姿を表す色。,,approved
palette-single-conscientiousness-low-1,presentation-v2,13,自由な風のスカイブルー,#4F9C98,#88B7AD,#4F867E,流れに応じて方向を変える軽やかな青緑。,,approved
palette-single-conscientiousness-low-2,presentation-v2,14,移ろいゆく風の若草色,#7FA36B,#B8AF8B,#837E59,決めすぎず自然に進む柔軟な印象。,,approved
palette-single-conscientiousness-low-3,presentation-v2,15,軽やかな雲のサンドベージュ,#C2AA84,#C0ADB7,#927E7E,行き先を固定しない広い余白を象徴する色。,,approved
palette-single-extraversion-high-1,presentation-v2,16,陽気なコーラルピンク,#E07868,#BBAB9C,#987466,人の輪へ自然に進む温かい活気。,,approved
palette-single-extraversion-high-2,presentation-v2,17,活気に満ちたオレンジ,#E69A4B,#DCAC80,#B77949,にぎわいと開放感を表す明るい色。,,approved
palette-single-extraversion-high-3,presentation-v2,18,交流をひらくターコイズ,#38A8A0,#90ADC1,#4D7D8C,交流の流れと軽快さを象徴する青緑。,,approved
palette-single-extraversion-low-1,presentation-v2,19,深い夜のミッドナイトブルー,#394A63,#819B9A,#445D63,静かな環境に長く留まる深い青。,,approved
palette-single-extraversion-low-2,presentation-v2,20,静寂を纏うシルバーグレー,#596F86,#AB9D94,#706466,外を眺めながら内側を整える色。,,approved
palette-single-extraversion-low-3,presentation-v2,21,落ち着いた藤色,#8B58A6,#AD91C3,#77558F,控えめな存在感と落ち着きを表す紫灰。,,approved
palette-single-agreeableness-high-1,presentation-v2,22,温かなパステルピンク,#C98591,#B3AFAA,#8C7A7A,歩幅を合わせる温かな関わりを象徴。,,approved
