title_id,title_rule_version,display_order,label,kind,character_id,summary_text_id,default_palette_id,status
title-balanced,title-rule-v1,1,五つの風を見渡す観測者,balanced,character-balanced,result-text-balanced,palette-default,reviewed
title-single-intellectImagination-high,title-rule-v1,2,おいかける探究者,single,character-single-intellectImagination-high,result-text-single-intellectImagination-high,palette-default,reviewed
title-single-intellectImagination-low,title-rule-v1,3,手ざわりをたどる散策者,single,character-single-intellectImagination-low,result-text-single-intellectImagination-low,palette-default,reviewed
title-single-conscientiousness-high,title-rule-v1,4,整然たる計画者,single,character-single-conscientiousness-high,result-text-single-conscientiousness-high,palette-default,reviewed
title-single-conscientiousness-low,title-rule-v1,5,風向きに道を変える漂泊者,single,character-single-conscientiousness-low,result-text-single-conscientiousness-low,palette-default,reviewed
title-single-extraversion-high,title-rule-v1,6,にぎわいへ進む交遊者,single,character-single-extraversion-high,result-text-single-extraversion-high,palette-default,reviewed
title-single-extraversion-low,title-rule-v1,7,静謐なる滞在者,single,character-single-extraversion-low,result-text-single-extraversion-low,palette-default,reviewed
title-single-agreeableness-high,title-rule-v1,8,歩幅をそろえる同伴者,single,character-single-agreeableness-high,result-text-single-agreeableness-high,palette-default,reviewed
title-single-agreeableness-low,title-rule-v1,9,自分の歩幅で進む同行者,single,character-single-agreeableness-low,result-text-single-agreeableness-low,palette-default,reviewed
title-single-emotionalStability-high,title-rule-v1,10,静かなる航行者,single,character-single-emotionalStability-high,result-text-single-emotionalStability-high,palette-default,reviewed
title-single-emotionalStability-low,title-rule-v1,11,そよ風に振り向く感受者,single,character-single-emotionalStability-low,result-text-single-emotionalStability-low,palette-default,reviewed
title-pair-intellectImagination-high--conscientiousness-high,title-rule-v1,12,星座盤に印を置く記録者,pair,character-pair-intellectImagination-high--conscientiousness-high,result-text-pair-intellectImagination-high--conscientiousness-high,palette-default,reviewed
title-pair-intellectImagination-high--conscientiousness-low,title-rule-v1,13,風まかせの空想者,pair,character-pair-intellectImagination-high--conscientiousness-low,result-text-pair-intellectImagination-high--conscientiousness-low,palette-default,reviewed
title-pair-intellectImagination-low--conscientiousness-high,title-rule-v1,14,素朴な継続者,pair,character-pair-intellectImagination-low--conscientiousness-high,result-text-pair-intellectImagination-low--conscientiousness-high,palette-default,reviewed
title-pair-intellectImagination-low--conscientiousness-low,title-rule-v1,15,気ままな遊歩者,pair,character-pair-intellectImagination-low--conscientiousness-low,result-text-pair-intellectImagination-low--conscientiousness-low,palette-default,reviewed
title-pair-intellectImagination-high--extraversion-high,title-rule-v1,16,新風を運ぶ伝達者,pair,character-pair-intellectImagination-high--extraversion-high,result-text-pair-intellectImagination-high--extraversion-high,palette-default,reviewed
title-pair-intellectImagination-high--extraversion-low,title-rule-v1,17,静寂に星座盤を見つめる探索者,pair,character-pair-intellectImagination-high--extraversion-low,result-text-pair-intellectImagination-high--extraversion-low,palette-default,reviewed
title-pair-intellectImagination-low--extraversion-high,title-rule-v1,18,にぎわいの談話者,pair,character-pair-intellectImagination-low--extraversion-high,result-text-pair-intellectImagination-low--extraversion-high,palette-default,reviewed
title-pair-intellectImagination-low--extraversion-low,title-rule-v1,19,窓辺の逗留者,pair,character-pair-intellectImagination-low--extraversion-low,result-text-pair-intellectImagination-low--extraversion-low,palette-default,reviewed
title-pair-intellectImagination-high--agreeableness-high,title-rule-v1,20,寄り添う共鳴者,pair,character-pair-intellectImagination-high--agreeableness-high,result-text-pair-intellectImagination-high--agreeableness-high,palette-default,reviewed
title-pair-intellectImagination-high--agreeableness-low,title-rule-v1,21,独歩の開拓者,pair,character-pair-intellectImagination-high--agreeableness-low,result-text-pair-intellectImagination-high--agreeableness-low,palette-default,reviewed
