text_id,result_text_version,title_id,display_order,text,status
title-reflection-balanced-1,result-text-v2,title-balanced,1,最近、状況に合わせて対応を変えたのはどんなときでしたか。,approved
title-reflection-balanced-2,result-text-v2,title-balanced,2,選択肢がいくつもあるとき、最も優先したい条件は何でしょうか。,approved
title-reflection-balanced-3,result-text-v2,title-balanced,3,今日選んだものを一つ取り上げ、その理由を短くメモしてみませんか。,approved
title-reflection-single-intellectImagination-high-1,result-text-v2,title-single-intellectImagination-high,1,最近、考えるたびに新たな疑問が浮かんだテーマはありましたか。,approved
title-reflection-single-intellectImagination-high-2,result-text-v2,title-single-intellectImagination-high,2,広がった発想から試すものを一つ選ぶとしたら、何を優先しますか。,approved
title-reflection-single-intellectImagination-high-3,result-text-v2,title-single-intellectImagination-high,3,気になるテーマに関連する本を一冊探してみませんか。,approved
title-reflection-single-intellectImagination-low-1,result-text-v2,title-single-intellectImagination-low,1,何かを選ぶとき、写真や説明だけでなく、実物を見て決めたことはありましたか。,approved
title-reflection-single-intellectImagination-low-2,result-text-v2,title-single-intellectImagination-low,2,身近なものの中で、特に見た目や手ざわりが気に入っているものはありますか。,approved
title-reflection-single-intellectImagination-low-3,result-text-v2,title-single-intellectImagination-low,3,気になっている場所を一つ選び、実際に足を運んでみませんか。,approved
title-reflection-single-conscientiousness-high-1,result-text-v2,title-single-conscientiousness-high,1,予定を立てるとき、どこまで決めておくと安心して始められますか。,approved
title-reflection-single-conscientiousness-high-2,result-text-v2,title-single-conscientiousness-high,2,自分のための時間も含めて予定を組めた日はありましたか。,approved
title-reflection-single-conscientiousness-high-3,result-text-v2,title-single-conscientiousness-high,3,次の予定に「見直しの時間」を5分だけ加えてみませんか。,approved
title-reflection-single-conscientiousness-low-1,result-text-v2,title-single-conscientiousness-low,1,その日の気分で動いたことで、思いがけない出会いや発見につながったことはありましたか。,approved
title-reflection-single-conscientiousness-low-2,result-text-v2,title-single-conscientiousness-low,2,予定を決めない日でも、自然とやりたくなることは何ですか。,approved
title-reflection-single-conscientiousness-low-3,result-text-v2,title-single-conscientiousness-low,3,次の休日に自由に過ごせる時間を少しだけ作ってみませんか。,approved
title-reflection-single-extraversion-high-1,result-text-v2,title-single-extraversion-high,1,人と話しているうちに、自分の考えがまとまったことはありましたか。,approved
title-reflection-single-extraversion-high-2,result-text-v2,title-single-extraversion-high,2,誰かと笑い合った時間の中で、特に心に残っている場面はありますか。,approved
title-reflection-single-extraversion-high-3,result-text-v2,title-single-extraversion-high,3,気になるイベントや集まりに参加してみませんか。,approved
title-reflection-single-extraversion-low-1,result-text-v2,title-single-extraversion-low,1,静かな時間を過ごすなら、どんな場所や過ごし方が心地よいですか。,approved
title-reflection-single-extraversion-low-2,result-text-v2,title-single-extraversion-low,2,人と会った後は、一人の時間をどんなふうに過ごしたいですか。,approved
title-reflection-single-extraversion-low-3,result-text-v2,title-single-extraversion-low,3,次の休日に読みたい本や聴きたい音楽を一つ選んでみませんか。,approved
title-reflection-single-agreeableness-high-1,result-text-v2,title-single-agreeableness-high,1,誰かに予定を合わせたことで、相手がほっとしたように見えたことはありましたか。,approved
title-reflection-single-agreeableness-high-2,result-text-v2,title-single-agreeableness-high,2,誰かの話を聞いて、その人が大切にしていることが伝わってきた場面はありましたか。,approved
title-reflection-single-agreeableness-high-3,result-text-v2,title-single-agreeableness-high,3,次に会ったとき「一番大切にしたいことは何？」と尋ねてみませんか。,approved
title-reflection-single-agreeableness-low-1,result-text-v2,title-single-agreeableness-low,1,自分の考えを譲りたくないと感じたことはありましたか。,approved
title-reflection-single-agreeableness-low-2,result-text-v2,title-single-agreeableness-low,2,意見が違う相手には、自分の考えをどのように伝えていますか。,approved
title-reflection-single-agreeableness-low-3,result-text-v2,title-single-agreeableness-low,3,自分の考えを譲りたくなかった場面を振り返り、大切にしていたことをメモしてみませんか。,approved
title-reflection-single-emotionalStability-high-1,result-text-v2,title-single-emotionalStability-high,1,何も予定がない穏やかな時間は、どんなふうに過ごしたいですか。,approved
title-reflection-single-emotionalStability-high-2,result-text-v2,title-single-emotionalStability-high,2,普段と少し違う気持ちに気づいて、「こんな日もある」と思えたことはありましたか。,approved
title-reflection-single-emotionalStability-high-3,result-text-v2,title-single-emotionalStability-high,3,予定の合間に一度だけ深呼吸する時間を取ってみませんか。,approved
title-reflection-single-emotionalStability-low-1,result-text-v2,title-single-emotionalStability-low,1,気になることがあるとき、どんな情報が分かると少し安心できますか。,approved
title-reflection-single-emotionalStability-low-2,result-text-v2,title-single-emotionalStability-low,2,小さな変化に早めに気づいたことで、準備しておいてよかったと思ったことはありますか。,approved
title-reflection-single-emotionalStability-low-3,result-text-v2,title-single-emotionalStability-low,3,気持ちが揺れたときに落ち着いて過ごせる場所を一つ思い浮かべてみませんか。,approved
title-reflection-pair-intellectImagination-high--conscientiousness-high-1,result-text-v2,title-pair-intellectImagination-high--conscientiousness-high,1,思いついたことを実行に移すとき、最初に何から決めていますか。,approved
title-reflection-pair-intellectImagination-high--conscientiousness-high-2,result-text-v2,title-pair-intellectImagination-high--conscientiousness-high,2,予定を立てる中で、あえて余白を残したことはありましたか。,approved
title-reflection-pair-intellectImagination-high--conscientiousness-high-3,result-text-v2,title-pair-intellectImagination-high--conscientiousness-high,3,今日浮かんだアイデアを一つメモし、最初に試したいことも書いてみませんか。,approved
title-reflection-pair-intellectImagination-high--conscientiousness-low-1,result-text-v2,title-pair-intellectImagination-high--conscientiousness-low,1,思いついたことをすぐ試してみたくなったのはどんなときでしたか。,approved
title-reflection-pair-intellectImagination-high--conscientiousness-low-2,result-text-v2,title-pair-intellectImagination-high--conscientiousness-low,2,興味が薄れてしまったテーマの中に、もう一度考えてみたいものはありますか。,approved
title-reflection-pair-intellectImagination-high--conscientiousness-low-3,result-text-v2,title-pair-intellectImagination-high--conscientiousness-low,3,気になっているテーマについて、思いついた方法を試してみませんか。,approved
title-reflection-pair-intellectImagination-low--conscientiousness-high-1,result-text-v2,title-pair-intellectImagination-low--conscientiousness-high,1,慣れた手順を続けたことで、安心して進められた場面はありましたか。,approved
title-reflection-pair-intellectImagination-low--conscientiousness-high-2,result-text-v2,title-pair-intellectImagination-low--conscientiousness-high,2,いつもの方法が今の状況にも合っているか、確かめたことはありましたか。,approved
title-reflection-pair-intellectImagination-low--conscientiousness-high-3,result-text-v2,title-pair-intellectImagination-low--conscientiousness-high,3,よく使う手順を一つ選び、今も続けたい理由をメモしてみませんか。,approved
title-reflection-pair-intellectImagination-low--conscientiousness-low-1,result-text-v2,title-pair-intellectImagination-low--conscientiousness-low,1,その場の状況を見ながら方針を決めたのはどんなときでしたか。,approved
title-reflection-pair-intellectImagination-low--conscientiousness-low-2,result-text-v2,title-pair-intellectImagination-low--conscientiousness-low,2,予定を決めずに過ごした日は、自然とどこへ足が向きましたか。,approved
title-reflection-pair-intellectImagination-low--conscientiousness-low-3,result-text-v2,title-pair-intellectImagination-low--conscientiousness-low,3,身近な疑問を、実際に確かめてみませんか。,approved
title-reflection-pair-intellectImagination-high--extraversion-high-1,result-text-v2,title-pair-intellectImagination-high--extraversion-high,1,アイデアを誰かに話すとき、相手の反応を確かめるために何を意識していますか。,approved
title-reflection-pair-intellectImagination-high--extraversion-high-2,result-text-v2,title-pair-intellectImagination-high--extraversion-high,2,人と話した後で、考え直したくなったテーマはありますか。,approved
title-reflection-pair-intellectImagination-high--extraversion-high-3,result-text-v2,title-pair-intellectImagination-high--extraversion-high,3,気になっているテーマを一つ選び、誰かに話したい要点を一文にしてみませんか。,approved
title-reflection-pair-intellectImagination-high--extraversion-low-1,result-text-v2,title-pair-intellectImagination-high--extraversion-low,1,一人で考えているうちに、見方が大きく変わったテーマはありましたか。,approved
title-reflection-pair-intellectImagination-high--extraversion-low-2,result-text-v2,title-pair-intellectImagination-high--extraversion-low,2,考えを深めるとき、どんな場所や時間なら集中しやすいですか。,approved
title-reflection-pair-intellectImagination-high--extraversion-low-3,result-text-v2,title-pair-intellectImagination-high--extraversion-low,3,最近考えていたことを一つ選び、今の時点でまとまっている考えを短く書いてみませんか。,approved
title-reflection-pair-intellectImagination-low--extraversion-high-1,result-text-v2,title-pair-intellectImagination-low--extraversion-high,1,最近、人と話して盛り上がった身近な話題は何でしたか。,approved
title-reflection-pair-intellectImagination-low--extraversion-high-2,result-text-v2,title-pair-intellectImagination-low--extraversion-high,2,誰かの体験談を聞いて、自分も試したくなったことはありましたか。,approved
title-reflection-pair-intellectImagination-low--extraversion-high-3,result-text-v2,title-pair-intellectImagination-low--extraversion-high,3,最近知ったことを一つ選び、次の会話で話題にしてみませんか。,approved
title-reflection-pair-intellectImagination-low--extraversion-low-1,result-text-v2,title-pair-intellectImagination-low--extraversion-low,1,慣れた場所で静かに過ごすなら、何をしている時間が心地よいですか。,approved
title-reflection-pair-intellectImagination-low--extraversion-low-2,result-text-v2,title-pair-intellectImagination-low--extraversion-low,2,いつもの場所から見える景色に、最近何か変化はありましたか。,approved
title-reflection-pair-intellectImagination-low--extraversion-low-3,result-text-v2,title-pair-intellectImagination-low--extraversion-low,3,好きな場所で、目に入ったものを一つだけメモしてみませんか。,approved
title-reflection-pair-intellectImagination-high--agreeableness-high-1,result-text-v2,title-pair-intellectImagination-high--agreeableness-high,1,意見が違う相手の話を聞いて、思いがけない共通点に気づいたことはありましたか。,approved
title-reflection-pair-intellectImagination-high--agreeableness-high-2,result-text-v2,title-pair-intellectImagination-high--agreeableness-high,2,自分の考えを大切にしながら、相手の考えにも共感できた場面はありましたか。,approved
title-reflection-pair-intellectImagination-high--agreeableness-high-3,result-text-v2,title-pair-intellectImagination-high--agreeableness-high,3,最近聞いた意見を一つ選び、共感した点と自分の考えを分けて書いてみませんか。,approved
title-reflection-pair-intellectImagination-high--agreeableness-low-1,result-text-v2,title-pair-intellectImagination-high--agreeableness-low,1,周囲と意見が違っても、自分の考えを深めたくなったのはどんなときでしたか。,approved
title-reflection-pair-intellectImagination-high--agreeableness-low-2,result-text-v2,title-pair-intellectImagination-high--agreeableness-low,2,独自の考えを伝えるとき、どんな背景や理由を最初に伝えていますか。,approved
title-reflection-pair-intellectImagination-high--agreeableness-low-3,result-text-v2,title-pair-intellectImagination-high--agreeableness-low,3,周囲とは違う発想について、さらに確かめたいことを書いてみませんか。,approved
title-reflection-pair-intellectImagination-low--agreeableness-high-1,result-text-v2,title-pair-intellectImagination-low--agreeableness-high,1,誰かを手伝うとき、無理なくできる範囲をどう決めていますか。,approved
title-reflection-pair-intellectImagination-low--agreeableness-high-2,result-text-v2,title-pair-intellectImagination-low--agreeableness-high,2,誰かと過ごす中で、自分が望んでいることに気づいたのはどんなときでしたか。,approved
title-reflection-pair-intellectImagination-low--agreeableness-high-3,result-text-v2,title-pair-intellectImagination-low--agreeableness-high,3,身近な人のためにできることを一つ思い浮かべ、必要かどうかその人に尋ねてみませんか。,approved
title-reflection-pair-intellectImagination-low--agreeableness-low-1,result-text-v2,title-pair-intellectImagination-low--agreeableness-low,1,自分の判断を伝えるとき、どんな事実や経験を根拠にしていますか。,approved
title-reflection-pair-intellectImagination-low--agreeableness-low-2,result-text-v2,title-pair-intellectImagination-low--agreeableness-low,2,相手と前提が違うと気づいたのは、どんなときでしたか。,approved
title-reflection-pair-intellectImagination-low--agreeableness-low-3,result-text-v2,title-pair-intellectImagination-low--agreeableness-low,3,次に誰かと意見を交わすとき、「確認できた事実」と「自分の考え」を分けて伝えてみませんか。,approved
title-reflection-pair-intellectImagination-high--emotionalStability-high-1,result-text-v2,title-pair-intellectImagination-high--emotionalStability-high,1,考えを広げている途中で、いったん現状を確かめたことはありましたか。,approved
title-reflection-pair-intellectImagination-high--emotionalStability-high-2,result-text-v2,title-pair-intellectImagination-high--emotionalStability-high,2,落ち着いて考えたいとき、どんな場所や時間を選んでいますか。,approved
title-reflection-pair-intellectImagination-high--emotionalStability-high-3,result-text-v2,title-pair-intellectImagination-high--emotionalStability-high,3,外の景色を眺めながら、次に試したいアイデアを一つ思い浮かべてみませんか。,approved
title-reflection-pair-intellectImagination-high--emotionalStability-low-1,result-text-v2,title-pair-intellectImagination-high--emotionalStability-low,1,いくつもの可能性が浮かんだとき、何を優先して確かめますか。,approved
title-reflection-pair-intellectImagination-high--emotionalStability-low-2,result-text-v2,title-pair-intellectImagination-high--emotionalStability-low,2,音や景色の小さな変化が、いつもより気になったことはありましたか。,approved
title-reflection-pair-intellectImagination-high--emotionalStability-low-3,result-text-v2,title-pair-intellectImagination-high--emotionalStability-low,3,今気になっていることを一つ選び、確認できている事実だけをまとめてみませんか。,approved
title-reflection-pair-intellectImagination-low--emotionalStability-high-1,result-text-v2,title-pair-intellectImagination-low--emotionalStability-high,1,身近な事実を確かめたことで、落ち着いて判断できた場面はありましたか。,approved
title-reflection-pair-intellectImagination-low--emotionalStability-high-2,result-text-v2,title-pair-intellectImagination-low--emotionalStability-high,2,いつもの方法が今の状況にも合っているか、何を軸にして判断していますか。,approved
title-reflection-pair-intellectImagination-low--emotionalStability-high-3,result-text-v2,title-pair-intellectImagination-low--emotionalStability-high,3,今日うまく進んだことを一つ選び、その理由を短くメモしてみませんか。,approved
title-reflection-pair-intellectImagination-low--emotionalStability-low-1,result-text-v2,title-pair-intellectImagination-low--emotionalStability-low,1,身近な変化に気づいて、早めに対応したことはありましたか。,approved
title-reflection-pair-intellectImagination-low--emotionalStability-low-2,result-text-v2,title-pair-intellectImagination-low--emotionalStability-low,2,周囲の変化の中で、特に気になりやすいのはどんなことですか。,approved
title-reflection-pair-intellectImagination-low--emotionalStability-low-3,result-text-v2,title-pair-intellectImagination-low--emotionalStability-low,3,今気になっていることをいくつか挙げ、「対応する」「様子を見る」に振り分けてみませんか。,approved
title-reflection-pair-conscientiousness-high--extraversion-high-1,result-text-v2,title-pair-conscientiousness-high--extraversion-high,1,人と一緒に進める予定を立てるとき、自分の役割をどのように決めていますか。,approved
