question_id,question_version,display_order,text,factor_id,direction,source_ref,status
ipip-ja-01,ipip-ja-50-question-set-v1,1,盛り上げ役である,extraversion,positive,1,approved
ipip-ja-17,ipip-ja-50-question-set-v1,2,人に共感しやすい,agreeableness,positive,17,approved
ipip-ja-23,ipip-ja-50-question-set-v1,3,すぐに雑用を済ませる,conscientiousness,positive,23,approved
ipip-ja-39,ipip-ja-50-question-set-v1,4,気分が著しく変化するほうだ,emotionalStability,reverse,39,approved
ipip-ja-15,ipip-ja-50-question-set-v1,5,想像力が豊かである,intellectImagination,positive,15,approved
ipip-ja-06,ipip-ja-50-question-set-v1,6,おしゃべりではない,extraversion,reverse,6,approved
ipip-ja-22,ipip-ja-50-question-set-v1,7,他人の問題には興味がない,agreeableness,reverse,22,approved
ipip-ja-28,ipip-ja-50-question-set-v1,8,整理整頓を怠りがち,conscientiousness,reverse,28,approved
ipip-ja-09,ipip-ja-50-question-set-v1,9,いつもリラックスしていることが多い,emotionalStability,positive,9,approved
ipip-ja-20,ipip-ja-50-question-set-v1,10,抽象的な考えには興味がない,intellectImagination,reverse,20,approved
ipip-ja-31,ipip-ja-50-question-set-v1,11,パーティでは色々な人と話すほうだ,extraversion,positive,31,approved
ipip-ja-42,ipip-ja-50-question-set-v1,12,他の人の気持ちがわかる,agreeableness,positive,42,approved
ipip-ja-33,ipip-ja-50-question-set-v1,13,整頓するのが好きである,conscientiousness,positive,33,approved
ipip-ja-29,ipip-ja-50-question-set-v1,14,慌てやすい,emotionalStability,reverse,29,approved
ipip-ja-10,ipip-ja-50-question-set-v1,15,抽象的な考えを理解するのが苦手だ,intellectImagination,reverse,10,approved
ipip-ja-16,ipip-ja-50-question-set-v1,16,引っ込み思案である,extraversion,reverse,16,approved
ipip-ja-32,ipip-ja-50-question-set-v1,17,他人にはまったく興味がない,agreeableness,reverse,32,approved
ipip-ja-18,ipip-ja-50-question-set-v1,18,無茶なことをする,conscientiousness,reverse,18,approved
ipip-ja-19,ipip-ja-50-question-set-v1,19,落ち込むことはめったにない,emotionalStability,positive,19,approved
ipip-ja-30,ipip-ja-50-question-set-v1,20,アイディアが乏しいほうだ,intellectImagination,reverse,30,approved
ipip-ja-02,ipip-ja-50-question-set-v1,21,他人を気づかうことはない,agreeableness,reverse,2,approved
ipip-ja-03,ipip-ja-50-question-set-v1,22,いつも用意周到である,conscientiousness,positive,3,approved
ipip-ja-04,ipip-ja-50-question-set-v1,23,すぐにストレスがたまってしまう,emotionalStability,reverse,4,approved
ipip-ja-05,ipip-ja-50-question-set-v1,24,語彙が豊富である,intellectImagination,positive,5,approved
ipip-ja-07,ipip-ja-50-question-set-v1,25,他人に興味がある,agreeableness,positive,7,approved
ipip-ja-08,ipip-ja-50-question-set-v1,26,持ち物が整理できないほうだ,conscientiousness,reverse,8,approved
ipip-ja-11,ipip-ja-50-question-set-v1,27,人前でもあがらない,extraversion,positive,11,approved
ipip-ja-12,ipip-ja-50-question-set-v1,28,人を馬鹿にするほうだ,agreeableness,reverse,12,approved
ipip-ja-13,ipip-ja-50-question-set-v1,29,細かいことに気がつく,conscientiousness,positive,13,approved
ipip-ja-14,ipip-ja-50-question-set-v1,30,心配性である,emotionalStability,reverse,14,approved
ipip-ja-21,ipip-ja-50-question-set-v1,31,自分から話しかけるほうである,extraversion,positive,21,approved
ipip-ja-24,ipip-ja-50-question-set-v1,32,動揺しやすい,emotionalStability,reverse,24,approved
ipip-ja-25,ipip-ja-50-question-set-v1,33,素晴らしいアイディアを持っている,intellectImagination,positive,25,approved
ipip-ja-26,ipip-ja-50-question-set-v1,34,あまり話すことがない,extraversion,reverse,26,approved
ipip-ja-27,ipip-ja-50-question-set-v1,35,優しい心を持っている,agreeableness,positive,27,approved
ipip-ja-34,ipip-ja-50-question-set-v1,36,気分をコロコロ変える,emotionalStability,reverse,34,approved
ipip-ja-35,ipip-ja-50-question-set-v1,37,ものわかりが良いほうだ,intellectImagination,positive,35,approved
ipip-ja-36,ipip-ja-50-question-set-v1,38,人から注目を浴びるのは好きではない,extraversion,reverse,36,approved
ipip-ja-37,ipip-ja-50-question-set-v1,39,他の人のために時間を割くほうだ,agreeableness,positive,37,approved
ipip-ja-38,ipip-ja-50-question-set-v1,40,仕事や学習をさぼることが多い,conscientiousness,reverse,38,approved
ipip-ja-40,ipip-ja-50-question-set-v1,41,難しい言葉を使うほうだ,intellectImagination,positive,40,approved
ipip-ja-41,ipip-ja-50-question-set-v1,42,注目の的になるのは嫌ではない,extraversion,positive,41,approved
ipip-ja-43,ipip-ja-50-question-set-v1,43,予定に従うほうだ,conscientiousness,positive,43,approved
ipip-ja-44,ipip-ja-50-question-set-v1,44,イライラしやすい,emotionalStability,reverse,44,approved
ipip-ja-45,ipip-ja-50-question-set-v1,45,いろんなことを反省しては時間を過ごす,intellectImagination,positive,45,approved
ipip-ja-46,ipip-ja-50-question-set-v1,46,人見知りする,extraversion,reverse,46,approved
ipip-ja-47,ipip-ja-50-question-set-v1,47,人を安心させる,agreeableness,positive,47,approved
ipip-ja-48,ipip-ja-50-question-set-v1,48,張り切って仕事や学習に取り組むほうだ,conscientiousness,positive,48,approved
ipip-ja-49,ipip-ja-50-question-set-v1,49,落ち込むことが多い,emotionalStability,reverse,49,approved
ipip-ja-50,ipip-ja-50-question-set-v1,50,アイディアが豊富である,intellectImagination,positive,50,approved
