title_id,scene_id,display_order,fragrance_id,share_selected,status
title-balanced,pause,1,fragrance-pause-roman-chamomile,true,draft
title-balanced,pause,2,fragrance-pause-sandalwood,false,draft
title-balanced,reset,1,fragrance-reset-grapefruit,true,draft
title-balanced,reset,2,fragrance-reset-lemongrass,false,draft
title-balanced,quiet-focus,1,fragrance-quiet-focus-bergamot,true,draft
title-balanced,quiet-focus,2,fragrance-quiet-focus-frankincense,false,draft
title-single-intellectImagination-high,pause,1,fragrance-pause-sweet-orange,false,draft
title-single-intellectImagination-high,pause,2,fragrance-pause-marjoram,true,draft
title-single-intellectImagination-high,reset,1,fragrance-reset-petitgrain,true,draft
title-single-intellectImagination-high,reset,2,fragrance-reset-rosemary,false,draft
title-single-intellectImagination-high,quiet-focus,1,fragrance-quiet-focus-juniper-berry,true,draft
title-single-intellectImagination-high,quiet-focus,2,fragrance-quiet-focus-patchouli,false,draft
title-single-intellectImagination-low,pause,1,fragrance-pause-hinoki,true,draft
title-single-intellectImagination-low,pause,2,fragrance-pause-neroli,false,draft
title-single-intellectImagination-low,reset,1,fragrance-reset-lemon,false,draft
title-single-intellectImagination-low,reset,2,fragrance-reset-peppermint,true,draft
title-single-intellectImagination-low,quiet-focus,1,fragrance-quiet-focus-rosemary,true,draft
title-single-intellectImagination-low,quiet-focus,2,fragrance-quiet-focus-vetiver,false,draft
title-single-conscientiousness-high,pause,1,fragrance-pause-true-lavender,false,draft
title-single-conscientiousness-high,pause,2,fragrance-pause-ho-wood,true,draft
title-single-conscientiousness-high,reset,1,fragrance-reset-lime,false,draft
title-single-conscientiousness-high,reset,2,fragrance-reset-ginger,true,draft
title-single-conscientiousness-high,quiet-focus,1,fragrance-quiet-focus-patchouli,true,draft
title-single-conscientiousness-high,quiet-focus,2,fragrance-quiet-focus-cypress,false,draft
title-single-conscientiousness-low,pause,1,fragrance-pause-marjoram,false,draft
title-single-conscientiousness-low,pause,2,fragrance-pause-frankincense,true,draft
title-single-conscientiousness-low,reset,1,fragrance-reset-bergamot,true,draft
title-single-conscientiousness-low,reset,2,fragrance-reset-eucalyptus-radiata,false,draft
title-single-conscientiousness-low,quiet-focus,1,fragrance-quiet-focus-cedarwood,true,draft
title-single-conscientiousness-low,quiet-focus,2,fragrance-quiet-focus-rosemary,false,draft
title-single-extraversion-high,pause,1,fragrance-pause-hinoki,true,draft
title-single-extraversion-high,pause,2,fragrance-pause-roman-chamomile,false,draft
title-single-extraversion-high,reset,1,fragrance-reset-peppermint,false,draft
title-single-extraversion-high,reset,2,fragrance-reset-mandarin,true,draft
title-single-extraversion-high,quiet-focus,1,fragrance-quiet-focus-vetiver,false,draft
title-single-extraversion-high,quiet-focus,2,fragrance-quiet-focus-cypress,true,draft
