title_id,display_order,factor_id,direction,status
title-single-intellectImagination-high,1,intellectImagination,high,reviewed
title-single-intellectImagination-low,1,intellectImagination,low,reviewed
title-single-conscientiousness-high,1,conscientiousness,high,reviewed
title-single-conscientiousness-low,1,conscientiousness,low,reviewed
title-single-extraversion-high,1,extraversion,high,reviewed
title-single-extraversion-low,1,extraversion,low,reviewed
title-single-agreeableness-high,1,agreeableness,high,reviewed
title-single-agreeableness-low,1,agreeableness,low,reviewed
title-single-emotionalStability-high,1,emotionalStability,high,reviewed
title-single-emotionalStability-low,1,emotionalStability,low,reviewed
title-pair-intellectImagination-high--conscientiousness-high,1,intellectImagination,high,reviewed
title-pair-intellectImagination-high--conscientiousness-high,2,conscientiousness,high,reviewed
title-pair-intellectImagination-high--conscientiousness-low,1,intellectImagination,high,reviewed
title-pair-intellectImagination-high--conscientiousness-low,2,conscientiousness,low,reviewed
title-pair-intellectImagination-low--conscientiousness-high,1,intellectImagination,low,reviewed
title-pair-intellectImagination-low--conscientiousness-high,2,conscientiousness,high,reviewed
title-pair-intellectImagination-low--conscientiousness-low,1,intellectImagination,low,reviewed
title-pair-intellectImagination-low--conscientiousness-low,2,conscientiousness,low,reviewed
title-pair-intellectImagination-high--extraversion-high,1,intellectImagination,high,reviewed
title-pair-intellectImagination-high--extraversion-high,2,extraversion,high,reviewed
title-pair-intellectImagination-high--extraversion-low,1,intellectImagination,high,reviewed
title-pair-intellectImagination-high--extraversion-low,2,extraversion,low,reviewed
title-pair-intellectImagination-low--extraversion-high,1,intellectImagination,low,reviewed
title-pair-intellectImagination-low--extraversion-high,2,extraversion,high,reviewed
title-pair-intellectImagination-low--extraversion-low,1,intellectImagination,low,reviewed
title-pair-intellectImagination-low--extraversion-low,2,extraversion,low,reviewed
title-pair-intellectImagination-high--agreeableness-high,1,intellectImagination,high,reviewed
title-pair-intellectImagination-high--agreeableness-high,2,agreeableness,high,reviewed
title-pair-intellectImagination-high--agreeableness-low,1,intellectImagination,high,reviewed
title-pair-intellectImagination-high--agreeableness-low,2,agreeableness,low,reviewed
title-pair-intellectImagination-low--agreeableness-high,1,intellectImagination,low,reviewed
title-pair-intellectImagination-low--agreeableness-high,2,agreeableness,high,reviewed
title-pair-intellectImagination-low--agreeableness-low,1,intellectImagination,low,reviewed
title-pair-intellectImagination-low--agreeableness-low,2,agreeableness,low,reviewed
title-pair-intellectImagination-high--emotionalStability-high,1,intellectImagination,high,reviewed
title-pair-intellectImagination-high--emotionalStability-high,2,emotionalStability,high,reviewed
title-pair-intellectImagination-high--emotionalStability-low,1,intellectImagination,high,reviewed
title-pair-intellectImagination-high--emotionalStability-low,2,emotionalStability,low,reviewed
title-pair-intellectImagination-low--emotionalStability-high,1,intellectImagination,low,reviewed
title-pair-intellectImagination-low--emotionalStability-high,2,emotionalStability,high,reviewed
title-pair-intellectImagination-low--emotionalStability-low,1,intellectImagination,low,reviewed
title-pair-intellectImagination-low--emotionalStability-low,2,emotionalStability,low,reviewed
title-pair-conscientiousness-high--extraversion-high,1,conscientiousness,high,reviewed
title-pair-conscientiousness-high--extraversion-high,2,extraversion,high,reviewed
title-pair-conscientiousness-high--extraversion-low,1,conscientiousness,high,reviewed
title-pair-conscientiousness-high--extraversion-low,2,extraversion,low,reviewed
title-pair-conscientiousness-low--extraversion-high,1,conscientiousness,low,reviewed
title-pair-conscientiousness-low--extraversion-high,2,extraversion,high,reviewed
title-pair-conscientiousness-low--extraversion-low,1,conscientiousness,low,reviewed
title-pair-conscientiousness-low--extraversion-low,2,extraversion,low,reviewed
title-pair-conscientiousness-high--agreeableness-high,1,conscientiousness,high,reviewed
title-pair-conscientiousness-high--agreeableness-high,2,agreeableness,high,reviewed
title-pair-conscientiousness-high--agreeableness-low,1,conscientiousness,high,reviewed
title-pair-conscientiousness-high--agreeableness-low,2,agreeableness,low,reviewed
title-pair-conscientiousness-low--agreeableness-high,1,conscientiousness,low,reviewed
title-pair-conscientiousness-low--agreeableness-high,2,agreeableness,high,reviewed
title-pair-conscientiousness-low--agreeableness-low,1,conscientiousness,low,reviewed
title-pair-conscientiousness-low--agreeableness-low,2,agreeableness,low,reviewed
title-pair-conscientiousness-high--emotionalStability-high,1,conscientiousness,high,reviewed
title-pair-conscientiousness-high--emotionalStability-high,2,emotionalStability,high,reviewed
title-pair-conscientiousness-high--emotionalStability-low,1,conscientiousness,high,reviewed
title-pair-conscientiousness-high--emotionalStability-low,2,emotionalStability,low,reviewed
title-pair-conscientiousness-low--emotionalStability-high,1,conscientiousness,low,reviewed
title-pair-conscientiousness-low--emotionalStability-high,2,emotionalStability,high,reviewed
title-pair-conscientiousness-low--emotionalStability-low,1,conscientiousness,low,reviewed
title-pair-conscientiousness-low--emotionalStability-low,2,emotionalStability,low,reviewed
title-pair-extraversion-high--agreeableness-high,1,extraversion,high,reviewed
title-pair-extraversion-high--agreeableness-high,2,agreeableness,high,reviewed
title-pair-extraversion-high--agreeableness-low,1,extraversion,high,reviewed
title-pair-extraversion-high--agreeableness-low,2,agreeableness,low,reviewed
title-pair-extraversion-low--agreeableness-high,1,extraversion,low,reviewed
title-pair-extraversion-low--agreeableness-high,2,agreeableness,high,reviewed
title-pair-extraversion-low--agreeableness-low,1,extraversion,low,reviewed
title-pair-extraversion-low--agreeableness-low,2,agreeableness,low,reviewed
title-pair-extraversion-high--emotionalStability-high,1,extraversion,high,reviewed
title-pair-extraversion-high--emotionalStability-high,2,emotionalStability,high,reviewed
title-pair-extraversion-high--emotionalStability-low,1,extraversion,high,reviewed
title-pair-extraversion-high--emotionalStability-low,2,emotionalStability,low,reviewed
title-pair-extraversion-low--emotionalStability-high,1,extraversion,low,reviewed
title-pair-extraversion-low--emotionalStability-high,2,emotionalStability,high,reviewed
title-pair-extraversion-low--emotionalStability-low,1,extraversion,low,reviewed
title-pair-extraversion-low--emotionalStability-low,2,emotionalStability,low,reviewed
title-pair-agreeableness-high--emotionalStability-high,1,agreeableness,high,reviewed
title-pair-agreeableness-high--emotionalStability-high,2,emotionalStability,high,reviewed
title-pair-agreeableness-high--emotionalStability-low,1,agreeableness,high,reviewed
title-pair-agreeableness-high--emotionalStability-low,2,emotionalStability,low,reviewed
title-pair-agreeableness-low--emotionalStability-high,1,agreeableness,low,reviewed
title-pair-agreeableness-low--emotionalStability-high,2,emotionalStability,high,reviewed
title-pair-agreeableness-low--emotionalStability-low,1,agreeableness,low,reviewed
title-pair-agreeableness-low--emotionalStability-low,2,emotionalStability,low,reviewed
