text_id,result_text_version,display_order,section,claim_kind,mode,factor_id,band,title_id,preview_allowed,text,status
title-balanced-subtitle,result-text-v2,1,titleSubtitle,entertainmentReason,,,,title-balanced,true,五つの傾向が近い範囲に集まるバランス派,approved
title-balanced-reason,result-text-v2,2,titleReason,entertainmentReason,,,,title-balanced,true,今回の回答では、特定の傾向だけが強く前面に出るというより五つの因子すべてが尺度内の中間域に収まりました。五つの傾向をまんべんなく見渡すような結果から、今回はこの称号になりました。,approved
title-single-intellectImagination-high-subtitle,result-text-v2,3,titleSubtitle,entertainmentReason,,,,title-single-intellectImagination-high,true,新しい考えや未知のテーマを追いかける探究派,approved
title-single-intellectImagination-high-reason,result-text-v2,4,titleReason,entertainmentReason,,,,title-single-intellectImagination-high,true,今回の回答では、新しい考え方や未知のテーマに関心を向ける回答が比較的多く見られました。ほかの四つの因子は中間域だったため「おいかける探究者」という称号になりました。,approved
title-single-intellectImagination-low-subtitle,result-text-v2,5,titleSubtitle,entertainmentReason,,,,title-single-intellectImagination-low,true,具体的で確かな内容を重視する現実派,approved
title-single-intellectImagination-low-reason,result-text-v2,6,titleReason,entertainmentReason,,,,title-single-intellectImagination-low,true,今回の回答では、抽象的な発想を広げることより具体的で確かめやすい内容に関心を向ける回答が多く見られました。ほかの四つの因子は中間域だったため「手ざわりをたどる散策者」という称号になりました。,approved
title-single-conscientiousness-high-subtitle,result-text-v2,7,titleSubtitle,entertainmentReason,,,,title-single-conscientiousness-high,true,予定や手順を整えて進める計画派,approved
title-single-conscientiousness-high-reason,result-text-v2,8,titleReason,entertainmentReason,,,,title-single-conscientiousness-high,true,今回の回答では、予定や手順を整えて準備しながら物事を進める回答が比較的多く見られました。ほかの四つの因子は中間域だったため「整然たる計画者」という称号になりました。,approved
title-single-conscientiousness-low-subtitle,result-text-v2,9,titleSubtitle,entertainmentReason,,,,title-single-conscientiousness-low,true,計画を固めるより状況を見ながら進めるマイペース派,approved
title-single-conscientiousness-low-reason,result-text-v2,10,titleReason,entertainmentReason,,,,title-single-conscientiousness-low,true,今回の回答では、先に計画を固めるよりその時々の状況や関心に応じて進める回答が多く見られました。ほかの四つの因子は中間域だったため「風向きに道を変える漂泊者」という称号になりました。,approved
