material_id,presentation_definition_version,display_order,display_name,material_kind,status
material-roman-chamomile,presentation-v2,1,ローマンカモミール,essential-oil-name,approved
material-sandalwood,presentation-v2,2,サンダルウッド,essential-oil-name,approved
material-grapefruit,presentation-v2,3,グレープフルーツ,essential-oil-name,approved
material-lemongrass,presentation-v2,4,レモングラス,essential-oil-name,approved
material-bergamot,presentation-v2,5,ベルガモット,essential-oil-name,approved
material-frankincense,presentation-v2,6,フランキンセンス,essential-oil-name,approved
material-sweet-orange,presentation-v2,7,スイートオレンジ,essential-oil-name,approved
material-marjoram,presentation-v2,8,マジョラム,essential-oil-name,approved
material-petitgrain,presentation-v2,9,プチグレン,essential-oil-name,approved
material-lemon,presentation-v2,10,レモン,essential-oil-name,approved
material-rosemary,presentation-v2,11,ローズマリー,essential-oil-name,approved
material-juniper-berry,presentation-v2,12,ジュニパーベリー,essential-oil-name,approved
material-hinoki,presentation-v2,13,ヒノキ,essential-oil-name,approved
material-neroli,presentation-v2,14,ネロリ,essential-oil-name,approved
material-lime,presentation-v2,15,ライム,essential-oil-name,approved
material-patchouli,presentation-v2,16,パチュリ,essential-oil-name,approved
material-cypress,presentation-v2,17,サイプレス,essential-oil-name,approved
material-true-lavender,presentation-v2,18,真正ラベンダー,essential-oil-name,approved
material-ho-wood,presentation-v2,19,ホーウッド,essential-oil-name,approved
material-peppermint,presentation-v2,20,ペパーミント,essential-oil-name,approved
material-cedarwood,presentation-v2,21,シダーウッド,essential-oil-name,approved
material-vetiver,presentation-v2,22,ベチバー,essential-oil-name,approved
material-mandarin,presentation-v2,23,マンダリン,essential-oil-name,approved
material-ginger,presentation-v2,24,ジンジャー,essential-oil-name,approved
material-eucalyptus-radiata,presentation-v2,25,ユーカリ・ラディアータ,essential-oil-name,approved
