palette_id,presentation_definition_version,display_order,background_source,background_mix_with,background_mix_percent,surface_source,surface_mix_with,surface_mix_percent,accent_source,accent_mix_with,accent_mix_percent,chart_source,chart_mix_with,chart_mix_percent,text_candidate_1,text_candidate_2,status
palette-balanced-1,presentation-v2,1,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-balanced-2,presentation-v2,2,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-balanced-3,presentation-v2,3,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-intellectimagination-high-1,presentation-v2,4,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-intellectimagination-high-2,presentation-v2,5,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-intellectimagination-high-3,presentation-v2,6,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-intellectimagination-low-1,presentation-v2,7,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-intellectimagination-low-2,presentation-v2,8,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-intellectimagination-low-3,presentation-v2,9,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-conscientiousness-high-1,presentation-v2,10,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-conscientiousness-high-2,presentation-v2,11,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-conscientiousness-high-3,presentation-v2,12,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-conscientiousness-low-1,presentation-v2,13,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-conscientiousness-low-2,presentation-v2,14,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-conscientiousness-low-3,presentation-v2,15,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-extraversion-high-1,presentation-v2,16,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-extraversion-high-2,presentation-v2,17,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-extraversion-high-3,presentation-v2,18,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-extraversion-low-1,presentation-v2,19,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-extraversion-low-2,presentation-v2,20,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-extraversion-low-3,presentation-v2,21,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-agreeableness-high-1,presentation-v2,22,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-agreeableness-high-2,presentation-v2,23,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-agreeableness-high-3,presentation-v2,24,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-agreeableness-low-1,presentation-v2,25,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-agreeableness-low-2,presentation-v2,26,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-agreeableness-low-3,presentation-v2,27,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-emotionalstability-high-1,presentation-v2,28,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-emotionalstability-high-2,presentation-v2,29,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-emotionalstability-high-3,presentation-v2,30,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-emotionalstability-low-1,presentation-v2,31,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-emotionalstability-low-2,presentation-v2,32,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-single-emotionalstability-low-3,presentation-v2,33,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-conscientiousness-high-1,presentation-v2,34,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-conscientiousness-high-2,presentation-v2,35,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-conscientiousness-high-3,presentation-v2,36,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-conscientiousness-low-1,presentation-v2,37,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-conscientiousness-low-2,presentation-v2,38,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-high-and-conscientiousness-low-3,presentation-v2,39,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-conscientiousness-high-1,presentation-v2,40,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-conscientiousness-high-2,presentation-v2,41,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-conscientiousness-high-3,presentation-v2,42,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
palette-pair-intellectimagination-low-and-conscientiousness-low-1,presentation-v2,43,primary,white,84,secondary,white,90,accent,black,45,primary,black,45,#1F2430,#FFFFFF,approved
