fragrance_id,presentation_definition_version,display_order,scene_id,family_id,accord_label,description,disclaimer_id,status
fragrance-pause-roman-chamomile,presentation-v2,1,pause,floral,まろやかな甘みの草花の香調,まろやかな甘みとやわらかな草花の気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-sandalwood,presentation-v2,2,pause,woody,温かく穏やかな木質の香調,温かみと丸みを帯びた木質の気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-grapefruit,presentation-v2,3,reset,citrus,ほろ苦く明るい柑橘の香調,ほろ苦さと明るさが重なる柑橘の気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-lemongrass,presentation-v2,4,reset,herbal,レモンを思わせる青い草の香調,レモンを思わせる青い草の気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-quiet-focus-bergamot,presentation-v2,5,quiet-focus,citrus,ほろ苦く端正な柑橘の香調,ほろ苦さと端正な輪郭を持つ柑橘の気配が、落ち着いた机辺と静かな時間を思わせる香調です。,disclaimer-aroma-symbolic,draft
fragrance-quiet-focus-frankincense,presentation-v2,6,quiet-focus,resinous,静かな樹脂の輪郭を含む木質の香調,乾いた木質に静かな樹脂の輪郭が重なる気配が、落ち着いた机辺と静かな時間を思わせる端正な香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-sweet-orange,presentation-v2,7,pause,citrus,やわらかな甘みの柑橘の香調,丸みのある柑橘の明るさが、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-pause-marjoram,presentation-v2,8,pause,herbal,温かく穏やかなハーブの香調,温かみのある穏やかな葉の気配が、静かな余白のある情景を思わせる穏やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-petitgrain,presentation-v2,9,reset,citrus,青い葉と柑橘の香調,青い葉とほろ苦い柑橘が重なる気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
fragrance-reset-lemon,presentation-v2,10,reset,citrus,鮮やかで明るい柑橘の香調,鮮やかな明るさと軽い酸味を持つ柑橘の気配が、空気の流れが変わる情景を思わせる軽やかな香調です。,disclaimer-aroma-symbolic,draft
