title_id,display_order,palette_id,status
title-balanced,1,palette-balanced-2,approved
title-balanced,2,palette-balanced-3,approved
title-single-intellectImagination-high,1,palette-single-intellectimagination-high-2,approved
title-single-intellectImagination-high,2,palette-single-intellectimagination-high-3,approved
title-single-intellectImagination-low,1,palette-single-intellectimagination-low-2,approved
title-single-intellectImagination-low,2,palette-single-intellectimagination-low-3,approved
title-single-conscientiousness-high,1,palette-single-conscientiousness-high-2,approved
title-single-conscientiousness-high,2,palette-single-conscientiousness-high-3,approved
title-single-conscientiousness-low,1,palette-single-conscientiousness-low-2,approved
title-single-conscientiousness-low,2,palette-single-conscientiousness-low-3,approved
title-single-extraversion-high,1,palette-single-extraversion-high-2,approved
title-single-extraversion-high,2,palette-single-extraversion-high-3,approved
title-single-extraversion-low,1,palette-single-extraversion-low-2,approved
title-single-extraversion-low,2,palette-single-extraversion-low-3,approved
title-single-agreeableness-high,1,palette-single-agreeableness-high-2,approved
title-single-agreeableness-high,2,palette-single-agreeableness-high-3,approved
title-single-agreeableness-low,1,palette-single-agreeableness-low-2,approved
title-single-agreeableness-low,2,palette-single-agreeableness-low-3,approved
title-single-emotionalStability-high,1,palette-single-emotionalstability-high-2,approved
title-single-emotionalStability-high,2,palette-single-emotionalstability-high-3,approved
title-single-emotionalStability-low,1,palette-single-emotionalstability-low-2,approved
title-single-emotionalStability-low,2,palette-single-emotionalstability-low-3,approved
title-pair-intellectImagination-high--conscientiousness-high,1,palette-pair-intellectimagination-high-and-conscientiousness-high-2,draft
title-pair-intellectImagination-high--conscientiousness-high,2,palette-pair-intellectimagination-high-and-conscientiousness-high-3,draft
title-pair-intellectImagination-high--conscientiousness-low,1,palette-pair-intellectimagination-high-and-conscientiousness-low-2,draft
title-pair-intellectImagination-high--conscientiousness-low,2,palette-pair-intellectimagination-high-and-conscientiousness-low-3,draft
title-pair-intellectImagination-low--conscientiousness-high,1,palette-pair-intellectimagination-low-and-conscientiousness-high-2,draft
title-pair-intellectImagination-low--conscientiousness-high,2,palette-pair-intellectimagination-low-and-conscientiousness-high-3,draft
title-pair-intellectImagination-low--conscientiousness-low,1,palette-pair-intellectimagination-low-and-conscientiousness-low-2,draft
title-pair-intellectImagination-low--conscientiousness-low,2,palette-pair-intellectimagination-low-and-conscientiousness-low-3,draft
title-pair-intellectImagination-high--extraversion-high,1,palette-pair-intellectimagination-high-and-extraversion-high-2,draft
title-pair-intellectImagination-high--extraversion-high,2,palette-pair-intellectimagination-high-and-extraversion-high-3,draft
title-pair-intellectImagination-high--extraversion-low,1,palette-pair-intellectimagination-high-and-extraversion-low-2,draft
title-pair-intellectImagination-high--extraversion-low,2,palette-pair-intellectimagination-high-and-extraversion-low-3,draft
title-pair-intellectImagination-low--extraversion-high,1,palette-pair-intellectimagination-low-and-extraversion-high-2,draft
title-pair-intellectImagination-low--extraversion-high,2,palette-pair-intellectimagination-low-and-extraversion-high-3,draft
title-pair-intellectImagination-low--extraversion-low,1,palette-pair-intellectimagination-low-and-extraversion-low-2,draft
title-pair-intellectImagination-low--extraversion-low,2,palette-pair-intellectimagination-low-and-extraversion-low-3,draft
title-pair-intellectImagination-high--agreeableness-high,1,palette-pair-intellectimagination-high-and-agreeableness-high-2,draft
title-pair-intellectImagination-high--agreeableness-high,2,palette-pair-intellectimagination-high-and-agreeableness-high-3,draft
title-pair-intellectImagination-high--agreeableness-low,1,palette-pair-intellectimagination-high-and-agreeableness-low-2,draft
title-pair-intellectImagination-high--agreeableness-low,2,palette-pair-intellectimagination-high-and-agreeableness-low-3,draft
title-pair-intellectImagination-low--agreeableness-high,1,palette-pair-intellectimagination-low-and-agreeableness-high-2,draft
title-pair-intellectImagination-low--agreeableness-high,2,palette-pair-intellectimagination-low-and-agreeableness-high-3,draft
title-pair-intellectImagination-low--agreeableness-low,1,palette-pair-intellectimagination-low-and-agreeableness-low-2,draft
title-pair-intellectImagination-low--agreeableness-low,2,palette-pair-intellectimagination-low-and-agreeableness-low-3,draft
title-pair-intellectImagination-high--emotionalStability-high,1,palette-pair-intellectimagination-high-and-emotionalstability-high-2,draft
title-pair-intellectImagination-high--emotionalStability-high,2,palette-pair-intellectimagination-high-and-emotionalstability-high-3,draft
title-pair-intellectImagination-high--emotionalStability-low,1,palette-pair-intellectimagination-high-and-emotionalstability-low-2,draft
title-pair-intellectImagination-high--emotionalStability-low,2,palette-pair-intellectimagination-high-and-emotionalstability-low-3,draft
title-pair-intellectImagination-low--emotionalStability-high,1,palette-pair-intellectimagination-low-and-emotionalstability-high-2,draft
title-pair-intellectImagination-low--emotionalStability-high,2,palette-pair-intellectimagination-low-and-emotionalstability-high-3,draft
